name,ages,errors,site,lat,lon,group average,group std_dev,group std_error
AleHak2014-A-10-CF-4,11256,1156,AleHak2014,71.153,-22.667,11256,,
AleHak2014-A-10-CF-4,11256,1156,AleHak2014,71.153,-22.667,9606,,
AleHak2014-A-10-CF-4,11256,1156,AleHak2014,71.153,-22.667,12291,,
AleHak2014-A-10-CF-4,11256,1156,AleHak2014,71.153,-22.667,8692,,
AleHak2014-D-10-CF-9,9606,529,AleHak2014,71.135,-22.759,11256,,
AleHak2014-D-10-CF-9,9606,529,AleHak2014,71.135,-22.759,9606,,
AleHak2014-D-10-CF-9,9606,529,AleHak2014,71.135,-22.759,12291,,
AleHak2014-D-10-CF-9,9606,529,AleHak2014,71.135,-22.759,8692,,
AleHak2014-E-13-GE-1,12291,1639,AleHak2014,70.771,-22.769,11256,,
AleHak2014-E-13-GE-1,12291,1639,AleHak2014,70.771,-22.769,9606,,
AleHak2014-E-13-GE-1,12291,1639,AleHak2014,70.771,-22.769,12291,,
AleHak2014-E-13-GE-1,12291,1639,AleHak2014,70.771,-22.769,8692,,
AleHak2014-E-13-GE-5,8692,586,AleHak2014,70.774,-22.759,11256,,
AleHak2014-E-13-GE-5,8692,586,AleHak2014,70.774,-22.759,9606,,
AleHak2014-E-13-GE-5,8692,586,AleHak2014,70.774,-22.759,12291,,
AleHak2014-E-13-GE-5,8692,586,AleHak2014,70.774,-22.759,8692,,
12GRO-7,8191,164,DRYM1,70.21378,-50.4735,8191,,
12GRO-7,8191,164,DRYM1,70.21378,-50.4735,8738,,
12GRO-8,8738,255,DRYM1,70.2131,-50.47272,8191,,
12GRO-8,8738,255,DRYM1,70.2131,-50.47272,8738,,
12GRO-9,8239,165,DRYM2,70.22152,-50.45253,8239,,
12GRO-9,8239,165,DRYM2,70.22152,-50.45253,8444,,
12GRO-9,8239,165,DRYM2,70.22152,-50.45253,8637,,
12GRO-10,8444,169,DRYM2,70.22152,-50.45253,8239,,
12GRO-10,8444,169,DRYM2,70.22152,-50.45253,8444,,
12GRO-10,8444,169,DRYM2,70.22152,-50.45253,8637,,
12GRO-11,8637,160,DRYM2,70.22152,-50.45253,8239,,
12GRO-11,8637,160,DRYM2,70.22152,-50.45253,8444,,
12GRO-11,8637,160,DRYM2,70.22152,-50.45253,8637,,
12GRO-16,7509,230,DRYM3,70.21252,-50.45955,7509,,
12GRO-16,7509,230,DRYM3,70.21252,-50.45955,7515,,
12GRO-17,7515,134,DRYM3,70.21252,-50.45955,7509,,
12GRO-17,7515,134,DRYM3,70.21252,-50.45955,7515,,
FJM1-16GRO-12,8769,216,FJM1,66.7974,-50.77984,8769,,
FJM1-16GRO-12,8769,216,FJM1,66.7974,-50.77984,9113,,
FJM1-16GRO-12,8769,216,FJM1,66.7974,-50.77984,9119,,
FJM1-16GRO-12,8769,216,FJM1,66.7974,-50.77984,8731,,
FJM1-16GRO-14,9113,267,FJM1,66.79964,-50.77192,8769,,
FJM1-16GRO-14,9113,267,FJM1,66.79964,-50.77192,9113,,
FJM1-16GRO-14,9113,267,FJM1,66.79964,-50.77192,9119,,
FJM1-16GRO-14,9113,267,FJM1,66.79964,-50.77192,8731,,
FJM1-16GRO-15,9119,321,FJM1,66.79989,-50.77032,8769,,
FJM1-16GRO-15,9119,321,FJM1,66.79989,-50.77032,9113,,
FJM1-16GRO-15,9119,321,FJM1,66.79989,-50.77032,9119,,
FJM1-16GRO-15,9119,321,FJM1,66.79989,-50.77032,8731,,
FJM1-16GRO-16,8731,368,FJM1,66.79979,-50.77116,8769,,
FJM1-16GRO-16,8731,368,FJM1,66.79979,-50.77116,9113,,
FJM1-16GRO-16,8731,368,FJM1,66.79979,-50.77116,9119,,
FJM1-16GRO-16,8731,368,FJM1,66.79979,-50.77116,8731,,
FJM2-16GRO-71,11126,383,FJM2,66.98943,-51.47161,11126,,
FJM2-16GRO-71,11126,383,FJM2,66.98943,-51.47161,9274,,
FJM2-16GRO-71,11126,383,FJM2,66.98943,-51.47161,8872,,
FJM2-16GRO-71,11126,383,FJM2,66.98943,-51.47161,9007,,
FJM2-16GRO-73,9274,367,FJM2,66.99014,-51.46722,11126,,
FJM2-16GRO-73,9274,367,FJM2,66.99014,-51.46722,9274,,
FJM2-16GRO-73,9274,367,FJM2,66.99014,-51.46722,8872,,
FJM2-16GRO-73,9274,367,FJM2,66.99014,-51.46722,9007,,
FJM2-16GRO-74,8872,329,FJM2,66.98933,-51.46445,11126,,
FJM2-16GRO-74,8872,329,FJM2,66.98933,-51.46445,9274,,
FJM2-16GRO-74,8872,329,FJM2,66.98933,-51.46445,8872,,
FJM2-16GRO-74,8872,329,FJM2,66.98933,-51.46445,9007,,
FJM2-16GRO-75,9007,266,FJM2,66.98938,-51.46329,11126,,
FJM2-16GRO-75,9007,266,FJM2,66.98938,-51.46329,9274,,
FJM2-16GRO-75,9007,266,FJM2,66.98938,-51.46329,8872,,
FJM2-16GRO-75,9007,266,FJM2,66.98938,-51.46329,9007,,
MKG-136,10886,420,FONF-LTMOR,70.558,-26.105,10886,,
MKG-136,10886,420,FONF-LTMOR,70.558,-26.105,10883,,
MKG-136,10886,420,FONF-LTMOR,70.558,-26.105,11135,,
MKG-136,10886,420,FONF-LTMOR,70.558,-26.105,12081,,
MKG-136,10886,420,FONF-LTMOR,70.558,-26.105,11905,,
MKG-136,10886,420,FONF-LTMOR,70.558,-26.105,10473,,
MKG-136,10886,420,FONF-LTMOR,70.558,-26.105,10108,,
MKG-136,10886,420,FONF-LTMOR,70.558,-26.105,10927,,
MKG-135,10883,381,FONF-LTMOR,70.558,-26.105,10886,,
MKG-135,10883,381,FONF-LTMOR,70.558,-26.105,10883,,
MKG-135,10883,381,FONF-LTMOR,70.558,-26.105,11135,,
MKG-135,10883,381,FONF-LTMOR,70.558,-26.105,12081,,
MKG-135,10883,381,FONF-LTMOR,70.558,-26.105,11905,,
MKG-135,10883,381,FONF-LTMOR,70.558,-26.105,10473,,
MKG-135,10883,381,FONF-LTMOR,70.558,-26.105,10108,,
MKG-135,10883,381,FONF-LTMOR,70.558,-26.105,10927,,
MKG-134,11135,225,FONF-LTMOR,70.558,-26.105,10886,,
MKG-134,11135,225,FONF-LTMOR,70.558,-26.105,10883,,
MKG-134,11135,225,FONF-LTMOR,70.558,-26.105,11135,,
MKG-134,11135,225,FONF-LTMOR,70.558,-26.105,12081,,
MKG-134,11135,225,FONF-LTMOR,70.558,-26.105,11905,,
MKG-134,11135,225,FONF-LTMOR,70.558,-26.105,10473,,
MKG-134,11135,225,FONF-LTMOR,70.558,-26.105,10108,,
MKG-134,11135,225,FONF-LTMOR,70.558,-26.105,10927,,
MKG-132,12081,258,FONF-LTMOR,70.557,-26.105,10886,,
MKG-132,12081,258,FONF-LTMOR,70.557,-26.105,10883,,
MKG-132,12081,258,FONF-LTMOR,70.557,-26.105,11135,,
MKG-132,12081,258,FONF-LTMOR,70.557,-26.105,12081,,
MKG-132,12081,258,FONF-LTMOR,70.557,-26.105,11905,,
MKG-132,12081,258,FONF-LTMOR,70.557,-26.105,10473,,
MKG-132,12081,258,FONF-LTMOR,70.557,-26.105,10108,,
MKG-132,12081,258,FONF-LTMOR,70.557,-26.105,10927,,
MKG-129,11905,238,FONF-LTMOR,70.557,-26.105,10886,,
MKG-129,11905,238,FONF-LTMOR,70.557,-26.105,10883,,
MKG-129,11905,238,FONF-LTMOR,70.557,-26.105,11135,,
MKG-129,11905,238,FONF-LTMOR,70.557,-26.105,12081,,
MKG-129,11905,238,FONF-LTMOR,70.557,-26.105,11905,,
MKG-129,11905,238,FONF-LTMOR,70.557,-26.105,10473,,
MKG-129,11905,238,FONF-LTMOR,70.557,-26.105,10108,,
MKG-129,11905,238,FONF-LTMOR,70.557,-26.105,10927,,
MKG-123,10473,249,FONF-LTMOR,70.566,-26.105,10886,,
MKG-123,10473,249,FONF-LTMOR,70.566,-26.105,10883,,
MKG-123,10473,249,FONF-LTMOR,70.566,-26.105,11135,,
MKG-123,10473,249,FONF-LTMOR,70.566,-26.105,12081,,
MKG-123,10473,249,FONF-LTMOR,70.566,-26.105,11905,,
MKG-123,10473,249,FONF-LTMOR,70.566,-26.105,10473,,
MKG-123,10473,249,FONF-LTMOR,70.566,-26.105,10108,,
MKG-123,10473,249,FONF-LTMOR,70.566,-26.105,10927,,
MKG-122,10108,234,FONF-LTMOR,70.567,-26.105,10886,,
MKG-122,10108,234,FONF-LTMOR,70.567,-26.105,10883,,
MKG-122,10108,234,FONF-LTMOR,70.567,-26.105,11135,,
MKG-122,10108,234,FONF-LTMOR,70.567,-26.105,12081,,
MKG-122,10108,234,FONF-LTMOR,70.567,-26.105,11905,,
MKG-122,10108,234,FONF-LTMOR,70.567,-26.105,10473,,
MKG-122,10108,234,FONF-LTMOR,70.567,-26.105,10108,,
MKG-122,10108,234,FONF-LTMOR,70.567,-26.105,10927,,
MKG-121,10927,224,FONF-LTMOR,70.566,-26.105,10886,,
MKG-121,10927,224,FONF-LTMOR,70.566,-26.105,10883,,
MKG-121,10927,224,FONF-LTMOR,70.566,-26.105,11135,,
MKG-121,10927,224,FONF-LTMOR,70.566,-26.105,12081,,
MKG-121,10927,224,FONF-LTMOR,70.566,-26.105,11905,,
MKG-121,10927,224,FONF-LTMOR,70.566,-26.105,10473,,
MKG-121,10927,224,FONF-LTMOR,70.566,-26.105,10108,,
MKG-121,10927,224,FONF-LTMOR,70.566,-26.105,10927,,
MKG-127,11010,224,FONF-PROXM,70.56,-26.105,11010,,
MKG-127,11010,224,FONF-PROXM,70.56,-26.105,10227,,
MKG-126,10227,240,FONF-PROXM,70.56,-26.105,11010,,
MKG-126,10227,240,FONF-PROXM,70.56,-26.105,10227,,
13-GE-5,8675,1170,GasM-N,70.4641,-22.4552,8675,,
13-GE-1,12266,3272,GasM-S,70.4625,-22.4616,12266,,
21-GL1455,10139,407,GLETLUKK-L,63.1777,-41.495,10139,,
21-GL1455,10139,407,GLETLUKK-L,63.1777,-41.495,8372,,
21-GL1453,8372,567,GLETLUKK-L,63.1777,-41.495,10139,,
21-GL1453,8372,567,GLETLUKK-L,63.1777,-41.495,8372,,
21-GL1465,9750,183,GLETLUKK-R,63.1558,-41.4948,9750,,
21-GL1465,9750,183,GLETLUKK-R,63.1558,-41.4948,9829,,
21-GL1465,9750,183,GLETLUKK-R,63.1558,-41.4948,10185,,
21-GL1464,9829,225,GLETLUKK-R,63.1557,-41.4947,9750,,
21-GL1464,9829,225,GLETLUKK-R,63.1557,-41.4947,9829,,
21-GL1464,9829,225,GLETLUKK-R,63.1557,-41.4947,10185,,
21-GL1462,10185,193,GLETLUKK-R,63.1558,-41.4936,9750,,
21-GL1462,10185,193,GLETLUKK-R,63.1558,-41.4936,9829,,
21-GL1462,10185,193,GLETLUKK-R,63.1558,-41.4936,10185,,
PEA0719,12401,602,HENSON,83.6142,-32.9454,12401,,
PEA0719,12401,602,HENSON,83.6142,-32.9454,12371,,
PEA0721,12371,617,HENSON,83.6135,-32.9113,12401,,
PEA0721,12371,617,HENSON,83.6135,-32.9113,12371,,
WM-006,11111,702,HUMB2,79.922,-63.74,11111,,
WM-006,11111,702,HUMB2,79.922,-63.74,7868,,
WM-006,11111,702,HUMB2,79.922,-63.74,8734,,
WM-006,11111,702,HUMB2,79.922,-63.74,11294,,
WM-006,11111,702,HUMB2,79.922,-63.74,8372,,
WM-006,11111,702,HUMB2,79.922,-63.74,7542,,
WM-005,7868,249,HUMB2,79.923,-63.748,11111,,
WM-005,7868,249,HUMB2,79.923,-63.748,7868,,
WM-005,7868,249,HUMB2,79.923,-63.748,8734,,
WM-005,7868,249,HUMB2,79.923,-63.748,11294,,
WM-005,7868,249,HUMB2,79.923,-63.748,8372,,
WM-005,7868,249,HUMB2,79.923,-63.748,7542,,
WM-004,8734,341,HUMB2,79.923,-63.758,11111,,
WM-004,8734,341,HUMB2,79.923,-63.758,7868,,
WM-004,8734,341,HUMB2,79.923,-63.758,8734,,
WM-004,8734,341,HUMB2,79.923,-63.758,11294,,
WM-004,8734,341,HUMB2,79.923,-63.758,8372,,
WM-004,8734,341,HUMB2,79.923,-63.758,7542,,
WM-003,11294,734,HUMB2,79.923,-63.759,11111,,
WM-003,11294,734,HUMB2,79.923,-63.759,7868,,
WM-003,11294,734,HUMB2,79.923,-63.759,8734,,
WM-003,11294,734,HUMB2,79.923,-63.759,11294,,
WM-003,11294,734,HUMB2,79.923,-63.759,8372,,
WM-003,11294,734,HUMB2,79.923,-63.759,7542,,
WM-002,8372,358,HUMB2,79.923,-63.755,11111,,
WM-002,8372,358,HUMB2,79.923,-63.755,7868,,
WM-002,8372,358,HUMB2,79.923,-63.755,8734,,
WM-002,8372,358,HUMB2,79.923,-63.755,11294,,
WM-002,8372,358,HUMB2,79.923,-63.755,8372,,
WM-002,8372,358,HUMB2,79.923,-63.755,7542,,
WM-001,7542,254,HUMB2,79.923,-63.755,11111,,
WM-001,7542,254,HUMB2,79.923,-63.755,7868,,
WM-001,7542,254,HUMB2,79.923,-63.755,8734,,
WM-001,7542,254,HUMB2,79.923,-63.755,11294,,
WM-001,7542,254,HUMB2,79.923,-63.755,8372,,
WM-001,7542,254,HUMB2,79.923,-63.755,7542,,
21-OED1811A,6651,274,ISUNNORK,67.1579,-50.1045,6651,,
21-OED1811A,6651,274,ISUNNORK,67.1579,-50.1045,6713,,
21-OED1811A,6651,274,ISUNNORK,67.1579,-50.1045,6662,,
