name,ages,errors,site,lat,lon,group average,group std_dev,group std_error,x_3413,y_3413
AleHak2014-A-10-CF-4,11256,1156,AleHak2014,71.153,-22.667,11256,,,782591.7478380954,-1905029.814266354
AleHak2014-A-10-CF-4,11256,1156,AleHak2014,71.153,-22.667,9606,,,782591.7478380954,-1905029.814266354
AleHak2014-A-10-CF-4,11256,1156,AleHak2014,71.153,-22.667,12291,,,782591.7478380954,-1905029.814266354
AleHak2014-A-10-CF-4,11256,1156,AleHak2014,71.153,-22.667,8692,,,782591.7478380954,-1905029.814266354
AleHak2014-D-10-CF-9,9606,529,AleHak2014,71.135,-22.759,11256,,,780289.4111930948,-1908136.5771395264
AleHak2014-D-10-CF-9,9606,529,AleHak2014,71.135,-22.759,9606,,,780289.4111930948,-1908136.5771395264
AleHak2014-D-10-CF-9,9606,529,AleHak2014,71.135,-22.759,12291,,,780289.4111930948,-1908136.5771395264
AleHak2014-D-10-CF-9,9606,529,AleHak2014,71.135,-22.759,8692,,,780289.4111930948,-1908136.5771395264
AleHak2014-E-13-GE-1,12291,1639,AleHak2014,70.771,-22.769,11256,,,795278.04929613,-1945759.3815789507
AleHak2014-E-13-GE-1,12291,1639,AleHak2014,70.771,-22.769,9606,,,795278.04929613,-1945759.3815789507
AleHak2014-E-13-GE-1,12291,1639,AleHak2014,70.771,-22.769,12291,,,795278.04929613,-1945759.3815789507
AleHak2014-E-13-GE-1,12291,1639,AleHak2014,70.771,-22.769,8692,,,795278.04929613,-1945759.3815789507
AleHak2014-E-13-GE-5,8692,586,AleHak2014,70.774,-22.759,11256,,,795491.2402766636,-1945311.4582768055
AleHak2014-E-13-GE-5,8692,586,AleHak2014,70.774,-22.759,9606,,,795491.2402766636,-1945311.4582768055
AleHak2014-E-13-GE-5,8692,586,AleHak2014,70.774,-22.759,12291,,,795491.2402766636,-1945311.4582768055
AleHak2014-E-13-GE-5,8692,586,AleHak2014,70.774,-22.759,8692,,,795491.2402766636,-1945311.4582768055
12GRO-7,8191,164,DRYM1,70.21378,-50.4735,8191,,,-206422.067422859,-2154218.1237794925
12GRO-7,8191,164,DRYM1,70.21378,-50.4735,8738,,,-206422.067422859,-2154218.1237794925
12GRO-8,8738,255,DRYM1,70.2131,-50.47272,8191,,,-206399.97137420316,-2154296.402635143
12GRO-8,8738,255,DRYM1,70.2131,-50.47272,8738,,,-206399.97137420316,-2154296.402635143
12GRO-9,8239,165,DRYM2,70.22152,-50.45253,8239,,,-205551.622246573,-2153434.49687788
12GRO-9,8239,165,DRYM2,70.22152,-50.45253,8444,,,-205551.622246573,-2153434.49687788
12GRO-9,8239,165,DRYM2,70.22152,-50.45253,8637,,,-205551.622246573,-2153434.49687788
12GRO-10,8444,169,DRYM2,70.22152,-50.45253,8239,,,-205551.622246573,-2153434.49687788
12GRO-10,8444,169,DRYM2,70.22152,-50.45253,8444,,,-205551.622246573,-2153434.49687788
12GRO-10,8444,169,DRYM2,70.22152,-50.45253,8637,,,-205551.622246573,-2153434.49687788
12GRO-11,8637,160,DRYM2,70.22152,-50.45253,8239,,,-205551.622246573,-2153434.49687788
12GRO-11,8637,160,DRYM2,70.22152,-50.45253,8444,,,-205551.622246573,-2153434.49687788
12GRO-11,8637,160,DRYM2,70.22152,-50.45253,8637,,,-205551.622246573,-2153434.49687788
12GRO-16,7509,230,DRYM3,70.21252,-50.45955,7509,,,-205910.93211330578,-2154408.1608713614
12GRO-16,7509,230,DRYM3,70.21252,-50.45955,7515,,,-205910.93211330578,-2154408.1608713614
12GRO-17,7515,134,DRYM3,70.21252,-50.45955,7509,,,-205910.93211330578,-2154408.1608713614
12GRO-17,7515,134,DRYM3,70.21252,-50.45955,7515,,,-205910.93211330578,-2154408.1608713614
FJM1-16GRO-12,8769,216,FJM1,66.7974,-50.77984,8769,,,-256499.77041465137,-2534061.382421164
FJM1-16GRO-12,8769,216,FJM1,66.7974,-50.77984,9113,,,-256499.77041465137,-2534061.382421164
FJM1-16GRO-12,8769,216,FJM1,66.7974,-50.77984,9119,,,-256499.77041465137,-2534061.382421164
FJM1-16GRO-12,8769,216,FJM1,66.7974,-50.77984,8731,,,-256499.77041465137,-2534061.382421164
FJM1-16GRO-14,9113,267,FJM1,66.79964,-50.77192,8769,,,-256124.09316564264,-2533845.617073717
FJM1-16GRO-14,9113,267,FJM1,66.79964,-50.77192,9113,,,-256124.09316564264,-2533845.617073717
FJM1-16GRO-14,9113,267,FJM1,66.79964,-50.77192,9119,,,-256124.09316564264,-2533845.617073717
FJM1-16GRO-14,9113,267,FJM1,66.79964,-50.77192,8731,,,-256124.09316564264,-2533845.617073717
FJM1-16GRO-15,9119,321,FJM1,66.79989,-50.77032,8769,,,-256050.50169238198,-2533824.7330681323
FJM1-16GRO-15,9119,321,FJM1,66.79989,-50.77032,9113,,,-256050.50169238198,-2533824.7330681323
FJM1-16GRO-15,9119,321,FJM1,66.79989,-50.77032,9119,,,-256050.50169238198,-2533824.7330681323
FJM1-16GRO-15,9119,321,FJM1,66.79989,-50.77032,8731,,,-256050.50169238198,-2533824.7330681323
FJM1-16GRO-16,8731,368,FJM1,66.79979,-50.77116,8769,,,-256088.78286191507,-2533832.1930205147
FJM1-16GRO-16,8731,368,FJM1,66.79979,-50.77116,9113,,,-256088.78286191507,-2533832.1930205147
FJM1-16GRO-16,8731,368,FJM1,66.79979,-50.77116,9119,,,-256088.78286191507,-2533832.1930205147
FJM1-16GRO-16,8731,368,FJM1,66.79979,-50.77116,8731,,,-256088.78286191507,-2533832.1930205147
FJM2-16GRO-71,11126,383,FJM2,66.98943,-51.47161,11126,,,-284636.98861006607,-2509280.5320493956
FJM2-16GRO-71,11126,383,FJM2,66.98943,-51.47161,9274,,,-284636.98861006607,-2509280.5320493956
FJM2-16GRO-71,11126,383,FJM2,66.98943,-51.47161,8872,,,-284636.98861006607,-2509280.5320493956
FJM2-16GRO-71,11126,383,FJM2,66.98943,-51.47161,9007,,,-284636.98861006607,-2509280.5320493956
FJM2-16GRO-73,9274,367,FJM2,66.99014,-51.46722,11126,,,-284435.7190026781,-2509222.868819525
FJM2-16GRO-73,9274,367,FJM2,66.99014,-51.46722,9274,,,-284435.7190026781,-2509222.868819525
FJM2-16GRO-73,9274,367,FJM2,66.99014,-51.46722,8872,,,-284435.7190026781,-2509222.868819525
FJM2-16GRO-73,9274,367,FJM2,66.99014,-51.46722,9007,,,-284435.7190026781,-2509222.868819525
FJM2-16GRO-74,8872,329,FJM2,66.98933,-51.46445,11126,,,-284324.6808719351,-2509327.2745745005
FJM2-16GRO-74,8872,329,FJM2,66.98933,-51.46445,9274,,,-284324.6808719351,-2509327.2745745005
FJM2-16GRO-74,8872,329,FJM2,66.98933,-51.46445,8872,,,-284324.6808719351,-2509327.2745745005
FJM2-16GRO-74,8872,329,FJM2,66.98933,-51.46445,9007,,,-284324.6808719351,-2509327.2745745005
FJM2-16GRO-75,9007,266,FJM2,66.98938,-51.46329,11126,,,-284273.24345694785,-2509327.434286342
FJM2-16GRO-75,9007,266,FJM2,66.98938,-51.46329,9274,,,-284273.24345694785,-2509327.434286342
FJM2-16GRO-75,9007,266,FJM2,66.98938,-51.46329,8872,,,-284273.24345694785,-2509327.434286342
FJM2-16GRO-75,9007,266,FJM2,66.98938,-51.46329,9007,,,-284273.24345694785,-2509327.434286342
MKG-136,10886,420,FONF-LTMOR,70.558,-26.105,10886,,,688384.4830917077,-2011179.235105886
MKG-136,10886,420,FONF-LTMOR,70.558,-26.105,10883,,,688384.4830917077,-2011179.235105886
MKG-136,10886,420,FONF-LTMOR,70.558,-26.105,11135,,,688384.4830917077,-2011179.235105886
MKG-136,10886,420,FONF-LTMOR,70.558,-26.105,12081,,,688384.4830917077,-2011179.235105886
MKG-136,10886,420,FONF-LTMOR,70.558,-26.105,11905,,,688384.4830917077,-2011179.235105886
MKG-136,10886,420,FONF-LTMOR,70.558,-26.105,10473,,,688384.4830917077,-2011179.235105886
MKG-136,10886,420,FONF-LTMOR,70.558,-26.105,10108,,,688384.4830917077,-2011179.235105886
MKG-136,10886,420,FONF-LTMOR,70.558,-26.105,10927,,,688384.4830917077,-2011179.235105886
MKG-135,10883,381,FONF-LTMOR,70.558,-26.105,10886,,,688384.4830917077,-2011179.235105886
MKG-135,10883,381,FONF-LTMOR,70.558,-26.105,10883,,,688384.4830917077,-2011179.235105886
MKG-135,10883,381,FONF-LTMOR,70.558,-26.105,11135,,,688384.4830917077,-2011179.235105886
MKG-135,10883,381,FONF-LTMOR,70.558,-26.105,12081,,,688384.4830917077,-2011179.235105886
MKG-135,10883,381,FONF-LTMOR,70.558,-26.105,11905,,,688384.4830917077,-2011179.235105886
MKG-135,10883,381,FONF-LTMOR,70.558,-26.105,10473,,,688384.4830917077,-2011179.235105886
MKG-135,10883,381,FONF-LTMOR,70.558,-26.105,10108,,,688384.4830917077,-2011179.235105886
MKG-135,10883,381,FONF-LTMOR,70.558,-26.105,10927,,,688384.4830917077,-2011179.235105886
MKG-134,11135,225,FONF-LTMOR,70.558,-26.105,10886,,,688384.4830917077,-2011179.235105886
MKG-134,11135,225,FONF-LTMOR,70.558,-26.105,10883,,,688384.4830917077,-2011179.235105886
MKG-134,11135,225,FONF-LTMOR,70.558,-26.105,11135,,,688384.4830917077,-2011179.235105886
MKG-134,11135,225,FONF-LTMOR,70.558,-26.105,12081,,,688384.4830917077,-2011179.235105886
MKG-134,11135,225,FONF-LTMOR,70.558,-26.105,11905,,,688384.4830917077,-2011179.235105886
MKG-134,11135,225,FONF-LTMOR,70.558,-26.105,10473,,,688384.4830917077,-2011179.235105886
MKG-134,11135,225,FONF-LTMOR,70.558,-26.105,10108,,,688384.4830917077,-2011179.235105886
MKG-134,11135,225,FONF-LTMOR,70.558,-26.105,10927,,,688384.4830917077,-2011179.235105886
MKG-132,12081,258,FONF-LTMOR,70.557,-26.105,10886,,,688420.552011583,-2011284.6138069865
MKG-132,12081,258,FONF-LTMOR,70.557,-26.105,10883,,,688420.552011583,-2011284.6138069865
MKG-132,12081,258,FONF-LTMOR,70.557,-26.105,11135,,,688420.552011583,-2011284.6138069865
MKG-132,12081,258,FONF-LTMOR,70.557,-26.105,12081,,,688420.552011583,-2011284.6138069865
MKG-132,12081,258,FONF-LTMOR,70.557,-26.105,11905,,,688420.552011583,-2011284.6138069865
MKG-132,12081,258,FONF-LTMOR,70.557,-26.105,10473,,,688420.552011583,-2011284.6138069865
MKG-132,12081,258,FONF-LTMOR,70.557,-26.105,10108,,,688420.552011583,-2011284.6138069865
MKG-132,12081,258,FONF-LTMOR,70.557,-26.105,10927,,,688420.552011583,-2011284.6138069865
MKG-129,11905,238,FONF-LTMOR,70.557,-26.105,10886,,,688420.552011583,-2011284.6138069865
MKG-129,11905,238,FONF-LTMOR,70.557,-26.105,10883,,,688420.552011583,-2011284.6138069865
MKG-129,11905,238,FONF-LTMOR,70.557,-26.105,11135,,,688420.552011583,-2011284.6138069865
MKG-129,11905,238,FONF-LTMOR,70.557,-26.105,12081,,,688420.552011583,-2011284.6138069865
MKG-129,11905,238,FONF-LTMOR,70.557,-26.105,11905,,,688420.552011583,-2011284.6138069865
MKG-129,11905,238,FONF-LTMOR,70.557,-26.105,10473,,,688420.552011583,-2011284.6138069865
MKG-129,11905,238,FONF-LTMOR,70.557,-26.105,10108,,,688420.552011583,-2011284.6138069865
MKG-129,11905,238,FONF-LTMOR,70.557,-26.105,10927,,,688420.552011583,-2011284.6138069865
MKG-123,10473,249,FONF-LTMOR,70.566,-26.105,10886,,,688095.9354679738,-2010336.2164100169
MKG-123,10473,249,FONF-LTMOR,70.566,-26.105,10883,,,688095.9354679738,-2010336.2164100169
MKG-123,10473,249,FONF-LTMOR,70.566,-26.105,11135,,,688095.9354679738,-2010336.2164100169
MKG-123,10473,249,FONF-LTMOR,70.566,-26.105,12081,,,688095.9354679738,-2010336.2164100169
MKG-123,10473,249,FONF-LTMOR,70.566,-26.105,11905,,,688095.9354679738,-2010336.2164100169
MKG-123,10473,249,FONF-LTMOR,70.566,-26.105,10473,,,688095.9354679738,-2010336.2164100169
MKG-123,10473,249,FONF-LTMOR,70.566,-26.105,10108,,,688095.9354679738,-2010336.2164100169
MKG-123,10473,249,FONF-LTMOR,70.566,-26.105,10927,,,688095.9354679738,-2010336.2164100169
MKG-122,10108,234,FONF-LTMOR,70.567,-26.105,10886,,,688059.8674818302,-2010230.8404369
MKG-122,10108,234,FONF-LTMOR,70.567,-26.105,10883,,,688059.8674818302,-2010230.8404369
