Mean_Features,GP_Features,RMSE,R2
None,None,2071.8652,0.19624189
None,bed_elevation,2103.3499,0.1673086
None,signed_distance_to_margin,2031.1318,0.23858804
None,distance_to_coast,2123.5295,0.14266744
None,bed_slope,2095.6516,0.17322358
None,bed_roughness,2092.6208,0.1751804
None,bed_elevation + signed_distance_to_margin,2044.7314,0.22625145
None,bed_elevation + distance_to_coast,2122.5242,0.14574999
None,bed_elevation + bed_slope,2109.6736,0.16257462
None,bed_elevation + bed_roughness,2112.9104,0.16063026
None,signed_distance_to_margin + distance_to_coast,2065.9958,0.20530552
None,signed_distance_to_margin + bed_slope,2038.3081,0.23253623
None,signed_distance_to_margin + bed_roughness,2034.3488,0.23520896
None,distance_to_coast + bed_slope,2131.7031,0.13674858
None,distance_to_coast + bed_roughness,2127.1729,0.13879007
None,bed_slope + bed_roughness,2097.1367,0.17215434
None,bed_elevation + signed_distance_to_margin + distance_to_coast,2060.638,0.20988849
None,bed_elevation + signed_distance_to_margin + bed_slope,2049.7344,0.22376016
None,bed_elevation + signed_distance_to_margin + bed_roughness,2045.6698,0.22678432
None,bed_elevation + distance_to_coast + bed_slope,2127.3342,0.14235869
None,bed_elevation + distance_to_coast + bed_roughness,2130.253,0.1396024
None,bed_elevation + bed_slope + bed_roughness,2123.212,0.15205345
None,signed_distance_to_margin + distance_to_coast + bed_slope,2073.3887,0.19833791
None,signed_distance_to_margin + distance_to_coast + bed_roughness,2132.0952,0.1350129
None,signed_distance_to_margin + bed_slope + bed_roughness,2048.1091,0.22387269
None,distance_to_coast + bed_slope + bed_roughness,2149.499,0.12286067
None,bed_elevation + signed_distance_to_margin + distance_to_coast + bed_slope,2068.61,0.20453265
None,bed_elevation + signed_distance_to_margin + distance_to_coast + bed_roughness,2132.4604,0.13620803
None,bed_elevation + signed_distance_to_margin + bed_slope + bed_roughness,2058.4497,0.21601275
None,bed_elevation + distance_to_coast + bed_slope + bed_roughness,2142.683,0.13078168
None,signed_distance_to_margin + distance_to_coast + bed_slope + bed_roughness,2135.0547,0.13280615
None,bed_elevation + signed_distance_to_margin + distance_to_coast + bed_slope + bed_roughness,2136.5317,0.13351995
bed_elevation,None,2121.376,0.14354602
bed_elevation,bed_elevation,2113.7156,0.1544573
bed_elevation,signed_distance_to_margin,2048.6929,0.21777192
bed_elevation,distance_to_coast,2133.1155,0.13198915
bed_elevation,bed_slope,2125.276,0.14039105
bed_elevation,bed_roughness,2119.9436,0.14348453
bed_elevation,bed_elevation + signed_distance_to_margin,2075.7258,0.19344214
bed_elevation,bed_elevation + distance_to_coast,2123.121,0.14325401
bed_elevation,bed_elevation + bed_slope,2116.0693,0.15344912
bed_elevation,bed_elevation + bed_roughness,2116.1685,0.1534231
bed_elevation,signed_distance_to_margin + distance_to_coast,2063.2642,0.20778859
bed_elevation,signed_distance_to_margin + bed_slope,2058.045,0.21335334
bed_elevation,signed_distance_to_margin + bed_roughness,2058.226,0.21161711
bed_elevation,distance_to_coast + bed_slope,2144.0225,0.12552339
bed_elevation,distance_to_coast + bed_roughness,2143.6309,0.1212472
bed_elevation,bed_slope + bed_roughness,2130.5437,0.1372197
bed_elevation,bed_elevation + signed_distance_to_margin + distance_to_coast,2154.1484,0.10802665
bed_elevation,bed_elevation + signed_distance_to_margin + bed_slope,2113.1987,0.15680408
bed_elevation,bed_elevation + signed_distance_to_margin + bed_roughness,2116.7107,0.15274331
bed_elevation,bed_elevation + distance_to_coast + bed_slope,2127.5142,0.14157683
bed_elevation,bed_elevation + distance_to_coast + bed_roughness,2123.6685,0.14384308
bed_elevation,bed_elevation + bed_slope + bed_roughness,2118.6104,0.15258148
bed_elevation,signed_distance_to_margin + distance_to_coast + bed_slope,2069.9026,0.20268103
bed_elevation,signed_distance_to_margin + distance_to_coast + bed_roughness,2128.7803,0.1376445
bed_elevation,signed_distance_to_margin + bed_slope + bed_roughness,2066.6523,0.20710766
bed_elevation,distance_to_coast + bed_slope + bed_roughness,2186.142,0.07641038
bed_elevation,bed_elevation + signed_distance_to_margin + distance_to_coast + bed_slope,2067.2231,0.20429578
bed_elevation,bed_elevation + signed_distance_to_margin + distance_to_coast + bed_roughness,2139.953,0.12584159
bed_elevation,bed_elevation + signed_distance_to_margin + bed_slope + bed_roughness,2121.7693,0.14987677
bed_elevation,bed_elevation + distance_to_coast + bed_slope + bed_roughness,2172.0886,0.09105158
bed_elevation,signed_distance_to_margin + distance_to_coast + bed_slope + bed_roughness,2143.3125,0.12660515
bed_elevation,bed_elevation + signed_distance_to_margin + distance_to_coast + bed_slope + bed_roughness,2142.1077,0.1253286
signed_distance_to_margin,None,1983.7058,0.24774548
signed_distance_to_margin,bed_elevation,1936.9067,0.2896116
signed_distance_to_margin,signed_distance_to_margin,1981.155,0.24964827
signed_distance_to_margin,distance_to_coast,1984.3655,0.2468647
signed_distance_to_margin,bed_slope,1979.627,0.25097534
signed_distance_to_margin,bed_roughness,1978.6472,0.2495789
signed_distance_to_margin,bed_elevation + signed_distance_to_margin,1940.4039,0.2856978
signed_distance_to_margin,bed_elevation + distance_to_coast,1964.0151,0.2622306
signed_distance_to_margin,bed_elevation + bed_slope,1944.1134,0.28320158
signed_distance_to_margin,bed_elevation + bed_roughness,1941.0396,0.2858143
signed_distance_to_margin,signed_distance_to_margin + distance_to_coast,1987.4185,0.24526024
signed_distance_to_margin,signed_distance_to_margin + bed_slope,1975.5178,0.25369382
signed_distance_to_margin,signed_distance_to_margin + bed_roughness,1987.1089,0.2415609
signed_distance_to_margin,distance_to_coast + bed_slope,1977.9263,0.25127468
signed_distance_to_margin,distance_to_coast + bed_roughness,1979.2463,0.2506866
signed_distance_to_margin,bed_slope + bed_roughness,1951.891,0.27587897
signed_distance_to_margin,bed_elevation + signed_distance_to_margin + distance_to_coast,1964.0048,0.26231676
signed_distance_to_margin,bed_elevation + signed_distance_to_margin + bed_slope,1948.6394,0.27810267
signed_distance_to_margin,bed_elevation + signed_distance_to_margin + bed_roughness,1940.7368,0.28634188
signed_distance_to_margin,bed_elevation + distance_to_coast + bed_slope,1961.8629,0.26487708
signed_distance_to_margin,bed_elevation + distance_to_coast + bed_roughness,1950.9607,0.27081686
signed_distance_to_margin,bed_elevation + bed_slope + bed_roughness,1941.9266,0.2858175
signed_distance_to_margin,signed_distance_to_margin + distance_to_coast + bed_slope,1971.1014,0.25942448
signed_distance_to_margin,signed_distance_to_margin + distance_to_coast + bed_roughness,1978.9386,0.2508391
signed_distance_to_margin,signed_distance_to_margin + bed_slope + bed_roughness,1971.4908,0.2566735
signed_distance_to_margin,distance_to_coast + bed_slope + bed_roughness,2010.3625,0.21774742
signed_distance_to_margin,bed_elevation + signed_distance_to_margin + distance_to_coast + bed_slope,1963.4265,0.26298955
signed_distance_to_margin,bed_elevation + signed_distance_to_margin + distance_to_coast + bed_roughness,1962.1227,0.26467165
signed_distance_to_margin,bed_elevation + signed_distance_to_margin + bed_slope + bed_roughness,1940.475,0.28690037
signed_distance_to_margin,bed_elevation + distance_to_coast + bed_slope + bed_roughness,1962.5598,0.26420456
signed_distance_to_margin,signed_distance_to_margin + distance_to_coast + bed_slope + bed_roughness,2012.6477,0.21614122
signed_distance_to_margin,bed_elevation + signed_distance_to_margin + distance_to_coast + bed_slope + bed_roughness,1999.7275,0.22585505
distance_to_coast,None,2114.8945,0.14170897
distance_to_coast,bed_elevation,2107.5684,0.14983654
distance_to_coast,signed_distance_to_margin,2082.1167,0.17921105
distance_to_coast,distance_to_coast,2124.89,0.13353613
distance_to_coast,bed_slope,2126.6787,0.13475001
distance_to_coast,bed_roughness,2134.5405,0.1246036
distance_to_coast,bed_elevation + signed_distance_to_margin,2073.0977,0.18546775
distance_to_coast,bed_elevation + distance_to_coast,2127.4175,0.13396013
distance_to_coast,bed_elevation + bed_slope,2112.897,0.1451891
distance_to_coast,bed_elevation + bed_roughness,2130.9756,0.12743679
distance_to_coast,signed_distance_to_margin + distance_to_coast,2103.1877,0.15938538
distance_to_coast,signed_distance_to_margin + bed_slope,2100.5005,0.16512865
distance_to_coast,signed_distance_to_margin + bed_roughness,2152.2666,0.1098063
distance_to_coast,distance_to_coast + bed_slope,2134.8613,0.12785926
distance_to_coast,distance_to_coast + bed_roughness,2152.0264,0.10408977
